Year,Region,School,Family,Students
2022,관악구,고등학교,외국인가정 자녀,89
2023,관악구,초등학교,국제결혼가정 자녀,389
2023,관악구,초등학교,외국인가정 자녀,260
2023,관악구,중학교,국제결혼가정 자녀,167
2023,관악구,중학교,외국인가정 자녀,86
2023,관악구,고등학교,국제결혼가정 자녀,117
2023,관악구,고등학교,외국인가정 자녀,93
2013,광진구,초등학교,국제결혼가정 자녀,186
2013,광진구,초등학교,외국인가정 자녀,15
2013,광진구,중학교,국제결혼가정 자녀,88
2013,광진구,중학교,외국인가정 자녀,48
2013,광진구,고등학교,국제결혼가정 자녀,40
2013,광진구,고등학교,외국인가정 자녀,19
2014,광진구,초등학교,국제결혼가정 자녀,215
2014,광진구,초등학교,외국인가정 자녀,30
2014,광진구,중학교,국제결혼가정 자녀,90
2014,광진구,중학교,외국인가정 자녀,25
2014,광진구,고등학교,국제결혼가정 자녀,35
2014,광진구,고등학교,외국인가정 자녀,22
2015,광진구,초등학교,국제결혼가정 자녀,213
2015,광진구,초등학교,외국인가정 자녀,54
2015,광진구,중학교,국제결혼가정 자녀,97
2015,광진구,중학교,외국인가정 자녀,19
2015,광진구,고등학교,국제결혼가정 자녀,46
2015,광진구,고등학교,외국인가정 자녀,16
2016,광진구,초등학교,국제결혼가정 자녀,254
2016,광진구,초등학교,외국인가정 자녀,55
2016,광진구,중학교,국제결혼가정 자녀,80
2016,광진구,중학교,외국인가정 자녀,16
2016,광진구,고등학교,국제결혼가정 자녀,50
2016,광진구,고등학교,외국인가정 자녀,35
2017,광진구,초등학교,국제결혼가정 자녀,268
2017,광진구,초등학교,외국인가정 자녀,109
2017,광진구,중학교,국제결혼가정 자녀,76
2017,광진구,중학교,외국인가정 자녀,26
2017,광진구,고등학교,국제결혼가정 자녀,46
2017,광진구,고등학교,외국인가정 자녀,20
2018,광진구,초등학교,국제결혼가정 자녀,274
2018,광진구,초등학교,외국인가정 자녀,107
2018,광진구,중학교,국제결혼가정 자녀,92
2018,광진구,중학교,외국인가정 자녀,32
2018,광진구,고등학교,국제결혼가정 자녀,30
2018,광진구,고등학교,외국인가정 자녀,11
2019,광진구,초등학교,국제결혼가정 자녀,291
2019,광진구,초등학교,외국인가정 자녀,153
2019,광진구,중학교,국제결혼가정 자녀,100
2019,광진구,중학교,외국인가정 자녀,35
2019,광진구,고등학교,국제결혼가정 자녀,42
2019,광진구,고등학교,외국인가정 자녀,7
2020,광진구,초등학교,국제결혼가정 자녀,306
2020,광진구,초등학교,외국인가정 자녀,155
2020,광진구,중학교,국제결혼가정 자녀,83
2020,광진구,중학교,외국인가정 자녀,32
2020,광진구,고등학교,국제결혼가정 자녀,54
2020,광진구,고등학교,외국인가정 자녀,9
2021,광진구,초등학교,국제결혼가정 자녀,295
2021,광진구,초등학교,외국인가정 자녀,208
2021,광진구,중학교,국제결혼가정 자녀,92
2021,광진구,중학교,외국인가정 자녀,40
2021,광진구,고등학교,국제결혼가정 자녀,51
2021,광진구,고등학교,외국인가정 자녀,18
2022,광진구,초등학교,국제결혼가정 자녀,306
2022,광진구,초등학교,외국인가정 자녀,199
2022,광진구,중학교,국제결혼가정 자녀,78
2022,광진구,중학교,외국인가정 자녀,62
2022,광진구,고등학교,국제결혼가정 자녀,49
2022,광진구,고등학교,외국인가정 자녀,16
2023,광진구,초등학교,국제결혼가정 자녀,315
2023,광진구,초등학교,외국인가정 자녀,227
2023,광진구,중학교,국제결혼가정 자녀,117
2023,광진구,중학교,외국인가정 자녀,74
2023,광진구,고등학교,국제결혼가정 자녀,68
2023,광진구,고등학교,외국인가정 자녀,20
2013,구로구,초등학교,국제결혼가정 자녀,440
2013,구로구,초등학교,외국인가정 자녀,124
2013,구로구,중학교,국제결혼가정 자녀,81
2013,구로구,중학교,외국인가정 자녀,13
2013,구로구,고등학교,국제결혼가정 자녀,22
2013,구로구,고등학교,외국인가정 자녀,5
2014,구로구,초등학교,국제결혼가정 자녀,432
2014,구로구,초등학교,외국인가정 자녀,175
2014,구로구,중학교,국제결혼가정 자녀,100
2014,구로구,중학교,외국인가정 자녀,31
2014,구로구,고등학교,국제결혼가정 자녀,35
2014,구로구,고등학교,외국인가정 자녀,2
2015,구로구,초등학교,국제결혼가정 자녀,490
2015,구로구,초등학교,외국인가정 자녀,363
2015,구로구,중학교,국제결혼가정 자녀,105
2015,구로구,중학교,외국인가정 자녀,55
2015,구로구,고등학교,국제결혼가정 자녀,40
2015,구로구,고등학교,외국인가정 자녀,8
2016,구로구,초등학교,국제결혼가정 자녀,578
2016,구로구,초등학교,외국인가정 자녀,464
2016,구로구,중학교,국제결혼가정 자녀,99
2016,구로구,중학교,외국인가정 자녀,82
2016,구로구,고등학교,국제결혼가정 자녀,52
2016,구로구,고등학교,외국인가정 자녀,25
2017,구로구,초등학교,국제결혼가정 자녀,708
2017,구로구,초등학교,외국인가정 자녀,473
2017,구로구,중학교,국제결혼가정 자녀,142
2017,구로구,중학교,외국인가정 자녀,86
2017,구로구,고등학교,국제결혼가정 자녀,63
2017,구로구,고등학교,외국인가정 자녀,30
2018,구로구,초등학교,국제결혼가정 자녀,762
2018,구로구,초등학교,외국인가정 자녀,533
2018,구로구,중학교,국제결혼가정 자녀,156
2018,구로구,중학교,외국인가정 자녀,113
2018,구로구,고등학교,국제결혼가정 자녀,61
2018,구로구,고등학교,외국인가정 자녀,36
2019,구로구,초등학교,국제결혼가정 자녀,734
2019,구로구,초등학교,외국인가정 자녀,729
2019,구로구,중학교,국제결혼가정 자녀,146
2019,구로구,중학교,외국인가정 자녀,182
2019,구로구,고등학교,국제결혼가정 자녀,76
2019,구로구,고등학교,외국인가정 자녀,65
2020,구로구,초등학교,국제결혼가정 자녀,707
2020,구로구,초등학교,외국인가정 자녀,741
2020,구로구,중학교,국제결혼가정 자녀,157
2020,구로구,중학교,외국인가정 자녀,227
2020,구로구,고등학교,국제결혼가정 자녀,91
2020,구로구,고등학교,외국인가정 자녀,85
2021,구로구,초등학교,국제결혼가정 자녀,677
2021,구로구,초등학교,외국인가정 자녀,800
2021,구로구,중학교,국제결혼가정 자녀,210
2021,구로구,중학교,외국인가정 자녀,293
2021,구로구,고등학교,국제결혼가정 자녀,132
2021,구로구,고등학교,외국인가정 자녀,96
2022,구로구,초등학교,국제결혼가정 자녀,645
2022,구로구,초등학교,외국인가정 자녀,795
2022,구로구,중학교,국제결혼가정 자녀,251
2022,구로구,중학교,외국인가정 자녀,319
2022,구로구,고등학교,국제결혼가정 자녀,158
2022,구로구,고등학교,외국인가정 자녀,95
2023,구로구,초등학교,국제결혼가정 자녀,747
2023,구로구,초등학교,외국인가정 자녀,788
2023,구로구,중학교,국제결혼가정 자녀,250
2023,구로구,중학교,외국인가정 자녀,293
2023,구로구,고등학교,국제결혼가정 자녀,164
2023,구로구,고등학교,외국인가정 자녀,105
2013,금천구,초등학교,국제결혼가정 자녀,264
2013,금천구,초등학교,외국인가정 자녀,67
2013,금천구,중학교,국제결혼가정 자녀,48
2013,금천구,중학교,외국인가정 자녀,14
2013,금천구,고등학교,국제결혼가정 자녀,16
2014,금천구,초등학교,국제결혼가정 자녀,266
2014,금천구,초등학교,외국인가정 자녀,120
2014,금천구,중학교,국제결혼가정 자녀,58
2014,금천구,중학교,외국인가정 자녀,17
2014,금천구,고등학교,국제결혼가정 자녀,17
2014,금천구,고등학교,외국인가정 자녀,2
2015,금천구,초등학교,국제결혼가정 자녀,309
2015,금천구,초등학교,외국인가정 자녀,167
2015,금천구,중학교,국제결혼가정 자녀,82
2015,금천구,중학교,외국인가정 자녀,10
2015,금천구,고등학교,국제결혼가정 자녀,21
2015,금천구,고등학교,외국인가정 자녀,8
2016,금천구,초등학교,국제결혼가정 자녀,344
2016,금천구,초등학교,외국인가정 자녀,242
2016,금천구,중학교,국제결혼가정 자녀,93
2016,금천구,중학교,외국인가정 자녀,11
2016,금천구,고등학교,국제결혼가정 자녀,28
2016,금천구,고등학교,외국인가정 자녀,13
2017,금천구,초등학교,국제결혼가정 자녀,374
2017,금천구,초등학교,외국인가정 자녀,324
2017,금천구,중학교,국제결혼가정 자녀,77
2017,금천구,중학교,외국인가정 자녀,29
2017,금천구,고등학교,국제결혼가정 자녀,38
2017,금천구,고등학교,외국인가정 자녀,18
2018,금천구,초등학교,국제결혼가정 자녀,398
2018,금천구,초등학교,외국인가정 자녀,415
2018,금천구,중학교,국제결혼가정 자녀,112
2018,금천구,중학교,외국인가정 자녀,45
2018,금천구,고등학교,국제결혼가정 자녀,40
2018,금천구,고등학교,외국인가정 자녀,19
2019,금천구,초등학교,국제결혼가정 자녀,412
2019,금천구,초등학교,외국인가정 자녀,482
2019,금천구,중학교,국제결혼가정 자녀,121
2019,금천구,중학교,외국인가정 자녀,60
2019,금천구,고등학교,국제결혼가정 자녀,43
2019,금천구,고등학교,외국인가정 자녀,27
2020,금천구,초등학교,국제결혼가정 자녀,379
2020,금천구,초등학교,외국인가정 자녀,519
2020,금천구,중학교,국제결혼가정 자녀,103
2020,금천구,중학교,외국인가정 자녀,96
2020,금천구,고등학교,국제결혼가정 자녀,52
2020,금천구,고등학교,외국인가정 자녀,31
2021,금천구,초등학교,국제결혼가정 자녀,403
2021,금천구,초등학교,외국인가정 자녀,569
2021,금천구,중학교,국제결혼가정 자녀,126
2021,금천구,중학교,외국인가정 자녀,102
2021,금천구,고등학교,국제결혼가정 자녀,59
2021,금천구,고등학교,외국인가정 자녀,41
2022,금천구,초등학교,국제결혼가정 자녀,406
2022,금천구,초등학교,외국인가정 자녀,542
2022,금천구,중학교,국제결혼가정 자녀,155
2022,금천구,중학교,외국인가정 자녀,115
2022,금천구,고등학교,국제결혼가정 자녀,56
2022,금천구,고등학교,외국인가정 자녀,62
2023,금천구,초등학교,국제결혼가정 자녀,434
2023,금천구,초등학교,외국인가정 자녀,529
2023,금천구,중학교,국제결혼가정 자녀,163
2023,금천구,중학교,외국인가정 자녀,131
2023,금천구,고등학교,국제결혼가정 자녀,65
2023,금천구,고등학교,외국인가정 자녀,84
2013,노원구,초등학교,국제결혼가정 자녀,232
2013,노원구,초등학교,외국인가정 자녀,14
2013,노원구,중학교,국제결혼가정 자녀,70
2013,노원구,중학교,외국인가정 자녀,3
2013,노원구,고등학교,국제결혼가정 자녀,40
2013,노원구,고등학교,외국인가정 자녀,13
2014,노원구,초등학교,국제결혼가정 자녀,264
2014,노원구,초등학교,외국인가정 자녀,12
2014,노원구,중학교,국제결혼가정 자녀,66
2014,노원구,중학교,외국인가정 자녀,3
2014,노원구,고등학교,국제결혼가정 자녀,58
2014,노원구,고등학교,외국인가정 자녀,7
2015,노원구,초등학교,국제결혼가정 자녀,312
2015,노원구,초등학교,외국인가정 자녀,16
2015,노원구,중학교,국제결혼가정 자녀,63
2015,노원구,중학교,외국인가정 자녀,5
2015,노원구,고등학교,국제결혼가정 자녀,70
2015,노원구,고등학교,외국인가정 자녀,18
2016,노원구,초등학교,국제결혼가정 자녀,333
2016,노원구,초등학교,외국인가정 자녀,37
2016,노원구,중학교,국제결혼가정 자녀,42
2016,노원구,중학교,외국인가정 자녀,4
2016,노원구,고등학교,국제결혼가정 자녀,81
2016,노원구,고등학교,외국인가정 자녀,10
2017,노원구,초등학교,국제결혼가정 자녀,377
2017,노원구,초등학교,외국인가정 자녀,12
2017,노원구,중학교,국제결혼가정 자녀,71
2017,노원구,중학교,외국인가정 자녀,6
2017,노원구,고등학교,국제결혼가정 자녀,93
2017,노원구,고등학교,외국인가정 자녀,5
2018,노원구,초등학교,국제결혼가정 자녀,402
